Categoria;Data ordine;Segmento;Obiettivo di vendita (Obiettivo di vendita)
Forniture per ufficio;29/03/2020;Privati;166
Mobili;30/03/2020;Privati;152
Forniture per ufficio;30/03/2020;Privati;813
Tecnologia;30/03/2020;Privati;1958
Forniture per ufficio;31/03/2020;Privati;75
Forniture per ufficio;31/03/2020;Grandi aziende;237
Forniture per ufficio;01/04/2020;Privati;249
Forniture per ufficio;01/04/2020;Grandi aziende;946
Forniture per ufficio;01/04/2020;Piccole aziende;71
Tecnologia;01/04/2020;Piccole aziende;219
Forniture per ufficio;03/04/2020;Grandi aziende;130
Forniture per ufficio;03/04/2020;Piccole aziende;44
Forniture per ufficio;04/04/2020;Privati;117
Forniture per ufficio;04/04/2020;Piccole aziende;52
Forniture per ufficio;05/04/2020;Privati;294
Forniture per ufficio;06/04/2020;Grandi aziende;554
Tecnologia;06/04/2020;Grandi aziende;2905
Forniture per ufficio;07/04/2020;Privati;91
Forniture per ufficio;08/04/2020;Privati;409
Tecnologia;08/04/2020;Privati;779
Forniture per ufficio;10/04/2020;Privati;122
Tecnologia;10/04/2020;Privati;324
Tecnologia;10/04/2020;Piccole aziende;1033
Mobili;11/04/2020;Privati;488
Forniture per ufficio;11/04/2020;Privati;155
Mobili;12/04/2020;Privati;403
Forniture per ufficio;12/04/2020;Privati;1209
Forniture per ufficio;13/04/2020;Privati;26
Tecnologia;13/04/2020;Privati;680
Mobili;14/04/2020;Privati;1171
Forniture per ufficio;14/04/2020;Privati;307
Forniture per ufficio;14/04/2020;Piccole aziende;239
Tecnologia;14/04/2020;Privati;661
Tecnologia;14/04/2020;Piccole aziende;726
Forniture per ufficio;15/04/2020;Privati;942
Mobili;17/04/2020;Privati;919
Forniture per ufficio;17/04/2020;Privati;1367
Tecnologia;17/04/2020;Privati;1702
Forniture per ufficio;18/04/2020;Privati;90
Tecnologia;19/04/2020;Piccole aziende;388
Forniture per ufficio;20/04/2020;Privati;371
Mobili;21/04/2020;Grandi aziende;1174
Forniture per ufficio;21/04/2020;Grandi aziende;115
Tecnologia;21/04/2020;Grandi aziende;527
Forniture per ufficio;23/04/2020;Privati;220
Forniture per ufficio;23/04/2020;Grandi aziende;447
Tecnologia;23/04/2020;Grandi aziende;4084
Forniture per ufficio;24/04/2020;Privati;19
Forniture per ufficio;24/04/2020;Grandi aziende;361
Forniture per ufficio;24/04/2020;Piccole aziende;59
Tecnologia;24/04/2020;Grandi aziende;390
Forniture per ufficio;25/04/2020;Privati;181
Forniture per ufficio;25/04/2020;Grandi aziende;161
Forniture per ufficio;26/04/2020;Grandi aziende;140
Mobili;27/04/2020;Privati;427
Forniture per ufficio;27/04/2020;Privati;1214
Forniture per ufficio;27/04/2020;Grandi aziende;397
Forniture per ufficio;27/04/2020;Piccole aziende;9
Tecnologia;27/04/2020;Privati;718
Tecnologia;27/04/2020;Grandi aziende;146
Forniture per ufficio;28/04/2020;Privati;367
Forniture per ufficio;28/04/2020;Grandi aziende;68
Forniture per ufficio;28/04/2020;Piccole aziende;199
Tecnologia;28/04/2020;Privati;80
Tecnologia;28/04/2020;Piccole aziende;241
Forniture per ufficio;29/04/2020;Privati;341
Tecnologia;29/04/2020;Privati;426
Mobili;01/05/2020;Privati;1131
Forniture per ufficio;01/05/2020;Privati;142
Forniture per ufficio;01/05/2020;Piccole aziende;102
Mobili;02/05/2020;Privati;49
Forniture per ufficio;02/05/2020;Privati;378
Forniture per ufficio;02/05/2020;Grandi aziende;15
Forniture per ufficio;02/05/2020;Piccole aziende;99
Mobili;04/05/2020;Grandi aziende;362
Tecnologia;05/05/2020;Piccole aziende;206
Forniture per ufficio;09/05/2020;Grandi aziende;423
Tecnologia;09/05/2020;Privati;179
Mobili;10/05/2020;Privati;901
Forniture per ufficio;10/05/2020;Privati;156
Forniture per ufficio;10/05/2020;Piccole aziende;10
Mobili;12/05/2020;Privati;643
Mobili;12/05/2020;Grandi aziende;297
Forniture per ufficio;12/05/2020;Privati;378
Forniture per ufficio;12/05/2020;Grandi aziende;1168
Mobili;13/05/2020;Privati;261
Forniture per ufficio;13/05/2020;Privati;510
Tecnologia;13/05/2020;Privati;442
Forniture per ufficio;14/05/2020;Privati;72
Forniture per ufficio;15/05/2020;Privati;147
Forniture per ufficio;15/05/2020;Grandi aziende;1129
Tecnologia;15/05/2020;Privati;180
Tecnologia;15/05/2020;Grandi aziende;448
Mobili;16/05/2020;Privati;69
Forniture per ufficio;16/05/2020;Privati;548
Forniture per ufficio;16/05/2020;Grandi aziende;474
Tecnologia;16/05/2020;Privati;421
Mobili;17/05/2020;Privati;2442
Forniture per ufficio;17/05/2020;Piccole aziende;165
Mobili;18/05/2020;Privati;1116
Forniture per ufficio;18/05/2020;Privati;2983
Forniture per ufficio;18/05/2020;Grandi aziende;99
Tecnologia;18/05/2020;Privati;609
Mobili;19/05/2020;Privati;706
Forniture per ufficio;19/05/2020;Privati;546
Forniture per ufficio;19/05/2020;Grandi aziende;60
Mobili;22/05/2020;Privati;304
Mobili;22/05/2020;Piccole aziende;94
Forniture per ufficio;22/05/2020;Privati;608
Forniture per ufficio;22/05/2020;Grandi aziende;74
Tecnologia;22/05/2020;Privati;816
Mobili;23/05/2020;Grandi aziende;720
Forniture per ufficio;23/05/2020;Grandi aziende;89
Forniture per ufficio;23/05/2020;Piccole aziende;85
Tecnologia;23/05/2020;Grandi aziende;440
Mobili;24/05/2020;Privati;179
Forniture per ufficio;24/05/2020;Privati;551
Tecnologia;24/05/2020;Privati;456
Mobili;25/05/2020;Grandi aziende;231
Forniture per ufficio;25/05/2020;Privati;90
Forniture per ufficio;25/05/2020;Grandi aziende;207
Tecnologia;25/05/2020;Grandi aziende;712
Tecnologia;25/05/2020;Piccole aziende;455
Forniture per ufficio;26/05/2020;Privati;504
Tecnologia;26/05/2020;Privati;601
Forniture per ufficio;27/05/2020;Grandi aziende;324
Tecnologia;29/05/2020;Privati;1559
Forniture per ufficio;30/05/2020;Privati;87
Tecnologia;30/05/2020;Privati;5982
Forniture per ufficio;31/05/2020;Privati;25
Mobili;01/06/2020;Grandi aziende;284
Mobili;01/06/2020;Piccole aziende;533
Forniture per ufficio;01/06/2020;Privati;135
Forniture per ufficio;01/06/2020;Grandi aziende;303
Tecnologia;01/06/2020;Privati;828
Tecnologia;01/06/2020;Grandi aziende;1875
Mobili;02/06/2020;Privati;1950
Forniture per ufficio;02/06/2020;Privati;412
Forniture per ufficio;02/06/2020;Grandi aziende;231
Tecnologia;02/06/2020;Grandi aziende;620
Mobili;03/06/2020;Grandi aziende;144
Forniture per ufficio;03/06/2020;Privati;597
Forniture per ufficio;03/06/2020;Grandi aziende;112
Tecnologia;03/06/2020;Privati;1017
Mobili;04/06/2020;Privati;49
Forniture per ufficio;04/06/2020;Privati;125
Mobili;05/06/2020;Privati;278
Forniture per ufficio;05/06/2020;Privati;140
Forniture per ufficio;05/06/2020;Grandi aziende;202
Forniture per ufficio;06/06/2020;Grandi aziende;35
Tecnologia;06/06/2020;Grandi aziende;1759
Mobili;07/06/2020;Privati;1071
Mobili;07/06/2020;Grandi aziende;37
Forniture per ufficio;07/06/2020;Privati;225
Forniture per ufficio;07/06/2020;Grandi aziende;104
Tecnologia;07/06/2020;Piccole aziende;123
Mobili;08/06/2020;Privati;413
Forniture per ufficio;08/06/2020;Piccole aziende;112
Tecnologia;08/06/2020;Privati;266
Tecnologia;08/06/2020;Grandi aziende;516
Mobili;09/06/2020;Privati;201
Forniture per ufficio;09/06/2020;Privati;1165
Forniture per ufficio;09/06/2020;Grandi aziende;124
Tecnologia;09/06/2020;Privati;2046
Mobili;10/06/2020;Privati;138
Forniture per ufficio;10/06/2020;Privati;154
Tecnologia;10/06/2020;Privati;451
Mobili;12/06/2020;Privati;518
Forniture per ufficio;12/06/2020;Privati;142
Forniture per ufficio;12/06/2020;Grandi aziende;476
Forniture per ufficio;12/06/2020;Piccole aziende;94
Tecnologia;12/06/2020;Privati;369
Mobili;13/06/2020;Grandi aziende;93
Forniture per ufficio;13/06/2020;Privati;621
Forniture per ufficio;13/06/2020;Grandi aziende;194
Tecnologia;13/06/2020;Privati;336
Forniture per ufficio;14/06/2020;Grandi aziende;260
Tecnologia;14/06/2020;Grandi aziende;821
Forniture per ufficio;15/06/2020;Privati;33
Forniture per ufficio;15/06/2020;Piccole aziende;580
Tecnologia;15/06/2020;Piccole aziende;1415
Mobili;16/06/2020;Privati;27
Mobili;16/06/2020;Grandi aziende;850
Forniture per ufficio;16/06/2020;Privati;274
Forniture per ufficio;16/06/2020;Grandi aziende;340
Forniture per ufficio;16/06/2020;Piccole aziende;52
Tecnologia;16/06/2020;Privati;64
Tecnologia;16/06/2020;Grandi aziende;1186
Tecnologia;16/06/2020;Piccole aziende;82
Mobili;17/06/2020;Privati;2572
Forniture per ufficio;17/06/2020;Privati;320
Forniture per ufficio;17/06/2020;Grandi aziende;31
Mobili;19/06/2020;Privati;3131
Mobili;19/06/2020;Piccole aziende;46
Forniture per ufficio;19/06/2020;Privati;332
Forniture per ufficio;19/06/2020;Piccole aziende;96
Tecnologia;19/06/2020;Privati;1451
Tecnologia;19/06/2020;Piccole aziende;1616
Mobili;20/06/2020;Privati;2362
Mobili;20/06/2020;Grandi aziende;316
Forniture per ufficio;20/06/2020;Privati;3235
Forniture per ufficio;20/06/2020;Grandi aziende;938
Tecnologia;20/06/2020;Privati;2686
Mobili;21/06/2020;Privati;315
Mobili;21/06/2020;Grandi aziende;2352
Mobili;21/06/2020;Piccole aziende;409
Forniture per ufficio;21/06/2020;Privati;480
Forniture per ufficio;21/06/2020;Grandi aziende;13
Forniture per ufficio;21/06/2020;Piccole aziende;26
Tecnologia;21/06/2020;Privati;1027
Tecnologia;21/06/2020;Grandi aziende;1530
Mobili;22/06/2020;Privati;549
Forniture per ufficio;22/06/2020;Privati;64
Forniture per ufficio;22/06/2020;Grandi aziende;354
Forniture per ufficio;22/06/2020;Piccole aziende;183
Tecnologia;22/06/2020;Privati;107
Mobili;23/06/2020;Piccole aziende;429
Forniture per ufficio;23/06/2020;Privati;308
Tecnologia;23/06/2020;Piccole aziende;1153
Mobili;24/06/2020;Privati;1677
Forniture per ufficio;24/06/2020;Privati;367
Mobili;26/06/2020;Privati;486
Mobili;26/06/2020;Piccole aziende;377
Forniture per ufficio;26/06/2020;Privati;34
Forniture per ufficio;26/06/2020;Grandi aziende;358
Forniture per ufficio;26/06/2020;Piccole aziende;892
Tecnologia;26/06/2020;Privati;2246
Mobili;27/06/2020;Grandi aziende;678
Forniture per ufficio;27/06/2020;Privati;60
Tecnologia;27/06/2020;Privati;125
Tecnologia;27/06/2020;Grandi aziende;1497
Forniture per ufficio;28/06/2020;Grandi aziende;86
Forniture per ufficio;28/06/2020;Piccole aziende;313
Tecnologia;28/06/2020;Grandi aziende;142
Tecnologia;28/06/2020;Piccole aziende;706
Mobili;29/06/2020;Piccole aziende;889
Forniture per ufficio;29/06/2020;Privati;204
Forniture per ufficio;29/06/2020;Grandi aziende;77
Forniture per ufficio;29/06/2020;Piccole aziende;270
Tecnologia;29/06/2020;Privati;213
Mobili;30/06/2020;Privati;848
Mobili;30/06/2020;Grandi aziende;270
Forniture per ufficio;30/06/2020;Privati;327
Forniture per ufficio;30/06/2020;Grandi aziende;144
Forniture per ufficio;30/06/2020;Piccole aziende;521
Tecnologia;30/06/2020;Privati;1664
Tecnologia;30/06/2020;Grandi aziende;454
Mobili;01/07/2020;Piccole aziende;570
Forniture per ufficio;01/07/2020;Privati;364
Mobili;02/07/2020;Grandi aziende;1828
Forniture per ufficio;02/07/2020;Grandi aziende;150
Tecnologia;02/07/2020;Grandi aziende;585
Forniture per ufficio;03/07/2020;Privati;287
Forniture per ufficio;03/07/2020;Piccole aziende;426
Mobili;04/07/2020;Privati;816
Forniture per ufficio;04/07/2020;Grandi aziende;30
Tecnologia;04/07/2020;Grandi aziende;2335
Forniture per ufficio;05/07/2020;Privati;1970
Forniture per ufficio;05/07/2020;Grandi aziende;74
Forniture per ufficio;05/07/2020;Piccole aziende;121
Forniture per ufficio;06/07/2020;Privati;262
Tecnologia;06/07/2020;Privati;519
Mobili;07/07/2020;Grandi aziende;741
Mobili;07/07/2020;Piccole aziende;933
Forniture per ufficio;07/07/2020;Grandi aziende;2472
Forniture per ufficio;07/07/2020;Piccole aziende;77
Forniture per ufficio;11/07/2020;Piccole aziende;55
Mobili;12/07/2020;Privati;1842
Forniture per ufficio;12/07/2020;Privati;1371
Forniture per ufficio;12/07/2020;Grandi aziende;68
Tecnologia;12/07/2020;Grandi aziende;236
Mobili;13/07/2020;Piccole aziende;1063
Forniture per ufficio;13/07/2020;Privati;90
Forniture per ufficio;13/07/2020;Piccole aziende;51
Forniture per ufficio;14/07/2020;Privati;287
Forniture per ufficio;14/07/2020;Grandi aziende;268
Forniture per ufficio;14/07/2020;Piccole aziende;699
Tecnologia;14/07/2020;Privati;1793
Tecnologia;14/07/2020;Grandi aziende;1598
Mobili;15/07/2020;Grandi aziende;448
Forniture per ufficio;15/07/2020;Grandi aziende;967
Mobili;17/07/2020;Privati;472
Forniture per ufficio;17/07/2020;Privati;91
Tecnologia;17/07/2020;Privati;178
Tecnologia;17/07/2020;Grandi aziende;854
Mobili;18/07/2020;Privati;269
Mobili;18/07/2020;Grandi aziende;509
Forniture per ufficio;18/07/2020;Privati;97
Forniture per ufficio;18/07/2020;Grandi aziende;309
Tecnologia;18/07/2020;Grandi aziende;2331
Forniture per ufficio;19/07/2020;Privati;99
Tecnologia;19/07/2020;Privati;1181
Forniture per ufficio;20/07/2020;Privati;344
Mobili;21/07/2020;Privati;133
Mobili;21/07/2020;Grandi aziende;46
Forniture per ufficio;21/07/2020;Privati;76
Forniture per ufficio;21/07/2020;Grandi aziende;988
Tecnologia;21/07/2020;Privati;1204
Forniture per ufficio;24/07/2020;Privati;1784
Tecnologia;24/07/2020;Privati;3973
Forniture per ufficio;25/07/2020;Privati;1226
Forniture per ufficio;25/07/2020;Grandi aziende;376
Forniture per ufficio;26/07/2020;Privati;385
Forniture per ufficio;26/07/2020;Grandi aziende;471
Tecnologia;26/07/2020;Grandi aziende;209
Mobili;27/07/2020;Privati;56
Forniture per ufficio;28/07/2020;Privati;536
Forniture per ufficio;29/07/2020;Privati;47
Forniture per ufficio;29/07/2020;Piccole aziende;43
Tecnologia;29/07/2020;Privati;426
Mobili;31/07/2020;Privati;279
Mobili;31/07/2020;Grandi aziende;1541
Forniture per ufficio;31/07/2020;Privati;867
Forniture per ufficio;31/07/2020;Grandi aziende;625
Tecnologia;31/07/2020;Privati;424
Mobili;02/08/2020;Privati;385
Forniture per ufficio;02/08/2020;Privati;1414
Forniture per ufficio;02/08/2020;Grandi aziende;3701
Tecnologia;02/08/2020;Privati;1967
Tecnologia;02/08/2020;Grandi aziende;390
Mobili;03/08/2020;Privati;78
Mobili;03/08/2020;Piccole aziende;168
Forniture per ufficio;03/08/2020;Grandi aziende;196
Forniture per ufficio;03/08/2020;Piccole aziende;589
Tecnologia;03/08/2020;Piccole aziende;1638
Mobili;04/08/2020;Privati;1392
Mobili;04/08/2020;Grandi aziende;119
Mobili;04/08/2020;Piccole aziende;444
Forniture per ufficio;04/08/2020;Privati;1448
Forniture per ufficio;04/08/2020;Grandi aziende;157
Forniture per ufficio;04/08/2020;Piccole aziende;1733
Tecnologia;04/08/2020;Privati;2798
Tecnologia;04/08/2020;Grandi aziende;975
Tecnologia;04/08/2020;Piccole aziende;288
Mobili;05/08/2020;Grandi aziende;137
Forniture per ufficio;05/08/2020;Privati;58
Forniture per ufficio;05/08/2020;Grandi aziende;978
Forniture per ufficio;05/08/2020;Piccole aziende;53
Mobili;06/08/2020;Piccole aziende;1259
Forniture per ufficio;06/08/2020;Piccole aziende;620
Mobili;07/08/2020;Privati;122
Forniture per ufficio;07/08/2020;Privati;494
Forniture per ufficio;07/08/2020;Grandi aziende;236
Forniture per ufficio;07/08/2020;Piccole aziende;11
Tecnologia;07/08/2020;Privati;490
Tecnologia;07/08/2020;Grandi aziende;696
Tecnologia;07/08/2020;Piccole aziende;964
Mobili;08/08/2020;Privati;501
Mobili;08/08/2020;Grandi aziende;815
Forniture per ufficio;08/08/2020;Privati;305
Forniture per ufficio;08/08/2020;Grandi aziende;100
Forniture per ufficio;09/08/2020;Privati;277
Forniture per ufficio;09/08/2020;Grandi aziende;230
Tecnologia;09/08/2020;Grandi aziende;495
Mobili;10/08/2020;Grandi aziende;684
Forniture per ufficio;10/08/2020;Privati;234
Forniture per ufficio;10/08/2020;Grandi aziende;249
Forniture per ufficio;10/08/2020;Piccole aziende;404
Tecnologia;10/08/2020;Privati;1005
Tecnologia;10/08/2020;Piccole aziende;970
Forniture per ufficio;11/08/2020;Privati;610
Forniture per ufficio;11/08/2020;Grandi aziende;525
Tecnologia;11/08/2020;Grandi aziende;2517
Forniture per ufficio;12/08/2020;Privati;36
Forniture per ufficio;13/08/2020;Privati;55
Mobili;14/08/2020;Privati;803
Forniture per ufficio;14/08/2020;Privati;1303
Forniture per ufficio;14/08/2020;Piccole aziende;65
Tecnologia;14/08/2020;Privati;306
Mobili;15/08/2020;Privati;91
Forniture per ufficio;15/08/2020;Privati;2306
Forniture per ufficio;15/08/2020;Piccole aziende;319
Tecnologia;15/08/2020;Privati;1973
Tecnologia;15/08/2020;Piccole aziende;1172
Mobili;16/08/2020;Privati;1143
Mobili;16/08/2020;Piccole aziende;236
Forniture per ufficio;16/08/2020;Privati;724
Forniture per ufficio;16/08/2020;Piccole aziende;6
Tecnologia;16/08/2020;Piccole aziende;531
Mobili;17/08/2020;Privati;147
Forniture per ufficio;17/08/2020;Privati;448
Forniture per ufficio;17/08/2020;Grandi aziende;222
Forniture per ufficio;17/08/2020;Piccole aziende;126
Mobili;18/08/2020;Privati;1173
Mobili;18/08/2020;Piccole aziende;203
Forniture per ufficio;18/08/2020;Piccole aziende;186
Mobili;19/08/2020;Privati;189
Forniture per ufficio;19/08/2020;Grandi aziende;474
Forniture per ufficio;19/08/2020;Piccole aziende;53
Tecnologia;19/08/2020;Piccole aziende;1403
Mobili;21/08/2020;Privati;3647
Forniture per ufficio;21/08/2020;Grandi aziende;63
Tecnologia;21/08/2020;Privati;687
Mobili;22/08/2020;Grandi aziende;1077
Forniture per ufficio;22/08/2020;Privati;97
Forniture per ufficio;22/08/2020;Grandi aziende;196
Tecnologia;22/08/2020;Privati;242
Tecnologia;22/08/2020;Grandi aziende;157
Mobili;23/08/2020;Grandi aziende;1084
Forniture per ufficio;23/08/2020;Grandi aziende;667
Tecnologia;23/08/2020;Grandi aziende;616
Mobili;24/08/2020;Privati;1728
Mobili;24/08/2020;Grandi aziende;354
Forniture per ufficio;24/08/2020;Privati;196
Forniture per ufficio;24/08/2020;Grandi aziende;316
Forniture per ufficio;24/08/2020;Piccole aziende;1239
Tecnologia;24/08/2020;Piccole aziende;236
Mobili;25/08/2020;Privati;2905
Mobili;25/08/2020;Grandi aziende;371
Mobili;25/08/2020;Piccole aziende;90
Forniture per ufficio;25/08/2020;Privati;2012
Forniture per ufficio;25/08/2020;Grandi aziende;381
Forniture per ufficio;25/08/2020;Piccole aziende;387
Tecnologia;25/08/2020;Privati;3329
Tecnologia;25/08/2020;Piccole aziende;156
Forniture per ufficio;26/08/2020;Privati;737
Mobili;28/08/2020;Privati;47
Forniture per ufficio;28/08/2020;Privati;49
Forniture per ufficio;28/08/2020;Grandi aziende;46
Forniture per ufficio;28/08/2020;Piccole aziende;145
Tecnologia;28/08/2020;Privati;450
Forniture per ufficio;29/08/2020;Privati;112
Tecnologia;29/08/2020;Privati;1185
Mobili;30/08/2020;Privati;1559
Forniture per ufficio;30/08/2020;Privati;2640
Forniture per ufficio;30/08/2020;Grandi aziende;118
Forniture per ufficio;30/08/2020;Piccole aziende;1365
Tecnologia;30/08/2020;Privati;4808
Tecnologia;30/08/2020;Piccole aziende;121
Mobili;31/08/2020;Grandi aziende;2655
Forniture per ufficio;31/08/2020;Privati;350
Forniture per ufficio;31/08/2020;Grandi aziende;255
Forniture per ufficio;31/08/2020;Piccole aziende;193
Tecnologia;31/08/2020;Privati;2008
Forniture per ufficio;01/09/2020;Privati;900
Forniture per ufficio;01/09/2020;Grandi aziende;57
Forniture per ufficio;01/09/2020;Piccole aziende;17
Tecnologia;01/09/2020;Privati;651
Tecnologia;01/09/2020;Grandi aziende;1720
Tecnologia;01/09/2020;Piccole aziende;1188
Mobili;02/09/2020;Privati;116
Mobili;02/09/2020;Piccole aziende;766
Forniture per ufficio;02/09/2020;Privati;612
Forniture per ufficio;02/09/2020;Piccole aziende;259
Tecnologia;02/09/2020;Privati;117
Tecnologia;02/09/2020;Piccole aziende;454
Mobili;03/09/2020;Grandi aziende;241
Forniture per ufficio;03/09/2020;Privati;578
Forniture per ufficio;03/09/2020;Grandi aziende;42
Tecnologia;03/09/2020;Grandi aziende;82
Forniture per ufficio;04/09/2020;Privati;288
Forniture per ufficio;04/09/2020;Grandi aziende;125
Forniture per ufficio;04/09/2020;Piccole aziende;29
Tecnologia;04/09/2020;Grandi aziende;159
Mobili;05/09/2020;Privati;188
Mobili;05/09/2020;Grandi aziende;1035
Forniture per ufficio;05/09/2020;Privati;774
Tecnologia;05/09/2020;Privati;870
Tecnologia;05/09/2020;Grandi aziende;215
Mobili;06/09/2020;Privati;237
Mobili;06/09/2020;Grandi aziende;660
Forniture per ufficio;06/09/2020;Grandi aziende;335
Forniture per ufficio;06/09/2020;Piccole aziende;17
Tecnologia;06/09/2020;Privati;186
Mobili;07/09/2020;Privati;439
Forniture per ufficio;07/09/2020;Privati;431
Forniture per ufficio;07/09/2020;Grandi aziende;17
Tecnologia;07/09/2020;Privati;225
Mobili;08/09/2020;Privati;2675
Forniture per ufficio;08/09/2020;Privati;77
Forniture per ufficio;08/09/2020;Grandi aziende;277
Forniture per ufficio;08/09/2020;Piccole aziende;55
Tecnologia;08/09/2020;Privati;1554
Tecnologia;08/09/2020;Grandi aziende;157
Tecnologia;08/09/2020;Piccole aziende;691
Mobili;09/09/2020;Privati;129
Forniture per ufficio;09/09/2020;Grandi aziende;213
Mobili;10/09/2020;Grandi aziende;1225
Forniture per ufficio;10/09/2020;Grandi aziende;460
Mobili;11/09/2020;Grandi aziende;432
Mobili;11/09/2020;Piccole aziende;804
Forniture per ufficio;11/09/2020;Privati;154
Forniture per ufficio;11/09/2020;Grandi aziende;585
Forniture per ufficio;11/09/2020;Piccole aziende;1052
Tecnologia;11/09/2020;Privati;783
Tecnologia;11/09/2020;Grandi aziende;1318
Mobili;12/09/2020;Piccole aziende;46
Forniture per ufficio;12/09/2020;Privati;372
Forniture per ufficio;12/09/2020;Piccole aziende;407
Tecnologia;12/09/2020;Grandi aziende;209
Mobili;13/09/2020;Privati;463
Mobili;13/09/2020;Grandi aziende;186
Forniture per ufficio;13/09/2020;Privati;703
Forniture per ufficio;13/09/2020;Grandi aziende;153
Forniture per ufficio;13/09/2020;Piccole aziende;111
Tecnologia;13/09/2020;Grandi aziende;1020
Mobili;14/09/2020;Privati;242
Mobili;14/09/2020;Grandi aziende;455
Forniture per ufficio;14/09/2020;Privati;23
Forniture per ufficio;14/09/2020;Grandi aziende;77
Forniture per ufficio;14/09/2020;Piccole aziende;41
Tecnologia;14/09/2020;Privati;276
Mobili;15/09/2020;Grandi aziende;382
Forniture per ufficio;15/09/2020;Privati;373
Tecnologia;15/09/2020;Privati;95
Tecnologia;16/09/2020;Piccole aziende;320
Forniture per ufficio;17/09/2020;Grandi aziende;37
Tecnologia;17/09/2020;Grandi aziende;151
Forniture per ufficio;18/09/2020;Privati;1512
Forniture per ufficio;18/09/2020;Piccole aziende;298
Tecnologia;18/09/2020;Privati;1817
Tecnologia;18/09/2020;Piccole aziende;426
Mobili;19/09/2020;Grandi aziende;2365
Forniture per ufficio;19/09/2020;Grandi aziende;416
Tecnologia;19/09/2020;Grandi aziende;1015
Mobili;20/09/2020;Privati;44
Forniture per ufficio;20/09/2020;Privati;389
Tecnologia;20/09/2020;Privati;309
Mobili;21/09/2020;Privati;4264
Forniture per ufficio;21/09/2020;Privati;2148
Forniture per ufficio;21/09/2020;Grandi aziende;209
Tecnologia;21/09/2020;Privati;4914
Mobili;22/09/2020;Privati;133
Forniture per ufficio;22/09/2020;Privati;159
Forniture per ufficio;22/09/2020;Grandi aziende;17
Forniture per ufficio;22/09/2020;Piccole aziende;59
Tecnologia;22/09/2020;Privati;1270
Mobili;23/09/2020;Grandi aziende;357
Forniture per ufficio;23/09/2020;Grandi aziende;610
Tecnologia;23/09/2020;Privati;299
Tecnologia;23/09/2020;Grandi aziende;834
Mobili;25/09/2020;Privati;264
Mobili;25/09/2020;Grandi aziende;202
Forniture per ufficio;25/09/2020;Privati;1918
Forniture per ufficio;25/09/2020;Grandi aziende;242
Tecnologia;25/09/2020;Privati;614
Tecnologia;25/09/2020;Grandi aziende;358
Mobili;26/09/2020;Privati;190
Forniture per ufficio;26/09/2020;Privati;511
Forniture per ufficio;26/09/2020;Piccole aziende;66
Tecnologia;26/09/2020;Privati;442
Tecnologia;26/09/2020;Piccole aziende;243
Mobili;27/09/2020;Privati;848
Forniture per ufficio;27/09/2020;Privati;188
Mobili;28/09/2020;Piccole aziende;697
Forniture per ufficio;28/09/2020;Privati;755
Forniture per ufficio;28/09/2020;Grandi aziende;201
Forniture per ufficio;28/09/2020;Piccole aziende;251
Tecnologia;28/09/2020;Piccole aziende;779
Mobili;29/09/2020;Privati;3346
Forniture per ufficio;29/09/2020;Privati;898
Tecnologia;29/09/2020;Privati;1130
Tecnologia;29/09/2020;Piccole aziende;464
Forniture per ufficio;30/09/2020;Privati;217
Forniture per ufficio;30/09/2020;Grandi aziende;688
Tecnologia;30/09/2020;Privati;2758
Mobili;02/10/2020;Privati;153
Mobili;02/10/2020;Grandi aziende;1853
Forniture per ufficio;02/10/2020;Privati;121
Forniture per ufficio;02/10/2020;Grandi aziende;345
Tecnologia;02/10/2020;Privati;1056
Tecnologia;02/10/2020;Grandi aziende;1076
Tecnologia;03/10/2020;Piccole aziende;87
Mobili;04/10/2020;Grandi aziende;37
Forniture per ufficio;04/10/2020;Grandi aziende;70
Mobili;05/10/2020;Privati;1665
Forniture per ufficio;05/10/2020;Privati;69
Forniture per ufficio;05/10/2020;Piccole aziende;201
Tecnologia;05/10/2020;Privati;501
Mobili;06/10/2020;Grandi aziende;621
Forniture per ufficio;06/10/2020;Grandi aziende;427
Tecnologia;06/10/2020;Privati;184
Tecnologia;06/10/2020;Grandi aziende;73
Mobili;07/10/2020;Privati;444
Forniture per ufficio;07/10/2020;Privati;401
Forniture per ufficio;09/10/2020;Privati;291
Forniture per ufficio;10/10/2020;Privati;54
Forniture per ufficio;11/10/2020;Privati;99
Forniture per ufficio;11/10/2020;Grandi aziende;181
Tecnologia;11/10/2020;Privati;648
Tecnologia;11/10/2020;Piccole aziende;361
Forniture per ufficio;12/10/2020;Grandi aziende;144
Forniture per ufficio;12/10/2020;Piccole aziende;320
Tecnologia;12/10/2020;Grandi aziende;924
Tecnologia;12/10/2020;Piccole aziende;76
Forniture per ufficio;13/10/2020;Piccole aziende;54
Tecnologia;14/10/2020;Privati;2188
Mobili;16/10/2020;Grandi aziende;2603
Forniture per ufficio;16/10/2020;Privati;441
Forniture per ufficio;16/10/2020;Grandi aziende;51
Mobili;17/10/2020;Privati;247
Forniture per ufficio;17/10/2020;Privati;13
Tecnologia;17/10/2020;Privati;311
Mobili;18/10/2020;Privati;869
Mobili;18/10/2020;Piccole aziende;312
Forniture per ufficio;18/10/2020;Privati;25
Forniture per ufficio;18/10/2020;Grandi aziende;578
Forniture per ufficio;18/10/2020;Piccole aziende;306
Tecnologia;18/10/2020;Piccole aziende;219
Forniture per ufficio;19/10/2020;Privati;111
